"","X","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"1",1,"Sun","05-Jul-2009",2009,"3:10","St Kilda","Geelong",54444,"Docklands",2.2,1.63,NA,1.63,2.2,0.57,31157.9865168539,23286.0134831461,30626.3473684211,23817.6526315789,0.777685054801456,3
"2",2,"Thu","09-Apr-2009",2009,"7:40","Geelong","Collingwood",58521,"M.C.G.",1.34,3.18,NA,1.34,3.18,1.84,50394.4829157175,8126.51708428246,63025.65,-4504.65,-0.0714732811164978,7
"3",3,"Sat","25-Jul-2009",2009,"7:10","St Kilda","Western Bulldogs",45082,"Docklands",1.36,3.05,NA,1.36,3.05,1.69,31157.9865168539,13924.0134831461,30626.3473684211,14455.6526315789,0.472000544422879,7
"4",4,"Sat","28-Mar-2009",2009,"2:10","Collingwood","Adelaide",41588,"M.C.G.",2.18,1.66,NA,1.66,2.18,0.52,50394.4829157175,-8806.48291571754,57107.1149425287,-15519.1149425287,-0.271754490804636,2
"5",5,"Sat","06-Jun-2009",2009,"7:10","Brisbane Lions","Carlton",33790,"Gabba",1.87,1.86,NA,1.86,1.87,0.01,20680.4862385321,13109.5137614679,20786.5428571429,13003.4571428571,0.625570939440215,7
"6",6,"Fri","22-May-2009",2009,"7:40","Geelong","Western Bulldogs",44620,"Docklands",1.83,1.93,NA,1.83,1.93,0.0999999999999999,31157.9865168539,13462.0134831461,39256,5364,0.136641532504585,7
"7",7,"Sun","30-Aug-2009",2009,"4:40","Collingwood","Western Bulldogs",48888,"Docklands",1.71,2.08,NA,1.71,2.08,0.37,31157.9865168539,17730.0134831461,35366.8421052632,13521.1578947368,0.382311710344212,4
"8",8,"Sun","30-Aug-2009",2009,"2:10","Melbourne","St Kilda",36748,"M.C.G.",12,1.02,NA,1.02,12,10.98,50394.4829157175,-13646.4829157175,35367.7023809524,1380.29761904762,0.0390270649809299,2
"9",9,"Sat","29-Aug-2009",2009,"7:10","Port Adelaide","North Melbourne",17284,"Football",1.38,2.94,NA,1.38,2.94,1.56,29323.4845360825,-12039.4845360825,22682.2291666667,-5398.22916666667,-0.237993767147005,7
"10",10,"Sat","29-Aug-2009",2009,"7:10","Sydney","Brisbane Lions",27933,"S.C.G.",1.67,2.12,NA,1.67,2.12,0.45,29955.7356321839,-2022.73563218391,29955.7356321839,-2022.73563218391,-0.0675241515354647,7
"11",11,"Sat","29-Aug-2009",2009,"4:10","Carlton","Adelaide",42356,"Docklands",1.81,1.93,NA,1.81,1.93,0.12,31157.9865168539,11198.0134831461,32309.6481481481,10046.3518518519,0.310939686058688,4
"12",12,"Sat","29-Aug-2009",2009,"2:10","Hawthorn","Essendon",77278,"M.C.G.",2.03,1.71,NA,1.71,2.03,0.32,50394.4829157175,26883.5170842825,49782.9508196721,27495.0491803279,0.55229850235119,2
"13",13,"Sat","29-Aug-2009",2009,"1:10","Geelong","Fremantle",18196,"Kardinia",1.05,9,NA,1.05,9,7.95,24884.9718309859,-6688.97183098592,24884.9718309859,-6688.97183098592,-0.268795636033513,1
"14",14,"Fri","28-Aug-2009",2009,"6:40","West Coast","Richmond",39755,"Subiaco",1.21,4.27,NA,1.21,4.27,3.06,35153.3529411765,4601.64705882353,36141.247311828,3613.75268817204,0.0999897058613516,6
