"","X.2","X.1","X","Date","Kick.Off..local.","Home.Team","Away.Team","Venue","Home.Score","Away.Score","Play.Off.Game.","Home.Goals","Home.Behinds","Away.Goals","Away.Behinds","Home.Odds","Away.Odds","Bookmakers.Surveyed","Home.Odds.Open","Home.Odds.Min","Home.Odds.Max","Home.Odds.Close","Away.Odds.Open","Away.Odds.Min","Away.Odds.Max","Away.Odds.Close","Home.Line.Open","Home.Line.Min","Home.Line.Max","Home.Line.Close","Away.Line.Open","Away.Line.Min","Away.Line.Max","Away.Line.Close","Home.Line.Odds.Open","Home.Line.Odds.Min","Home.Line.Odds.Max","Home.Line.Odds.Close","Away.Line.Odds.Open","Away.Line.Odds.Min","Away.Line.Odds.Max","Away.Line.Odds.Close","Total.Score.Open","Total.Score.Min","Total.Score.Max","Total.Score.Close","Total.Score.Over.Open","Total.Score.Over.Min","Total.Score.Over.Max","Total.Score.Over.Close","Total.Score.Under.Open","Total.Score.Under.Min","Total.Score.Under.Max","Total.Score.Under.Close","Notes","Home","Favorite","Underdog","Differential"
"1",1,1,1,"2019","15:20:00","North Melbourne","GWS Giants","Blundstone Arena",68,91,NA,10,8,14,7,2.54,1.51,9,2.55,2.4,2.55,2.55,1.52,1.52,1.58,1.54,10.5,9.5,12.5,12.5,-10.5,-12.5,-9.5,-12.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,166.5,166.5,168.5,168.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,2.54,1.51,2.54,1.03
"2",2,2,2,"2019","19:25:00","Carlton","Western Bulldogs","Marvel Stadium",100,103,NA,15,10,15,13,2.62,1.49,9,2.7,2.55,2.7,2.62,1.47,1.47,1.54,1.52,13.5,11.5,13.5,11.5,-13.5,-13.5,-11.5,-11.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,168.5,165.5,168.5,165.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,NA,2.62,1.49,2.62,1.13
"3",3,3,3,"2019","14:35:00","Fremantle","Port Adelaide","Optus Stadium",100,79,NA,15,10,12,7,1.82,1.98,9,1.62,1.62,1.83,1.83,2.3,2.02,2.3,2.02,-7.5,-7.5,-2.5,-2.5,7.5,2.5,7.5,2.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,162.5,160.5,162.5,160.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,NA,1.82,1.82,1.98,0.16
"4",4,4,4,"2019","13:45:00","Gold Coast","St Kilda","Riverway Stadium",76,80,NA,11,10,11,14,2.47,1.54,8,2.3,2.3,2.55,2.55,1.62,1.54,1.65,1.54,7.5,7.5,11.5,11.5,-7.5,-11.5,-7.5,-11.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,161.5,159.5,161.5,160.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,NA,2.47,1.54,2.47,0.93
"5",5,5,5,"2019","19:50:00","Essendon","Hawthorn","Marvel Stadium",96,77,NA,14,12,11,11,1.66,2.21,9,1.75,1.65,1.78,1.65,2.1,2.05,2.3,2.3,-2.5,-7.5,-2.5,-7.5,2.5,2.5,7.5,7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,162.5,157.5,162.5,157.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,NA,1.66,1.66,2.21,0.55
"6",6,6,6,"2019","19:20:00","Adelaide","Richmond","Adelaide Oval",101,68,NA,15,11,9,14,1.21,4.48,9,1.78,1.2,1.78,1.2,2.05,2.05,4.8,4.8,-2.5,-31.5,-2.5,-31.5,2.5,2.5,31.5,31.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,155.5,150.5,155.5,154.5,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,1.21,1.21,4.48,3.27
"7",7,7,7,"2019","15:20:00","Collingwood","Melbourne","MCG",98,57,NA,15,8,7,15,1.43,2.8,9,1.33,1.33,1.42,1.42,3.35,2.9,3.35,3,-21.5,-21.5,-15.5,-15.5,21.5,15.5,21.5,15.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,161.5,153.5,162.5,162.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,1.43,1.43,2.8,1.37
"8",8,8,8,"2019","15:20:00","Sydney","West Coast","SCG",116,71,NA,18,8,10,11,1.88,1.9,9,2.55,1.8,2.55,1.9,1.52,1.52,2.05,1.95,11.5,-1.5,11.5,-1.5,-11.5,-11.5,1.5,1.5,1.91,1.89,1.91,1.97,1.91,1.91,1.93,1.85,158.5,156.5,158.5,156.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,NA,1.88,1.88,1.9,0.02
"9",9,9,9,"2019","19:10:00","Adelaide","GWS Giants","Adelaide Oval",82,61,NA,12,10,9,7,1.86,1.93,9,2.18,1.8,2.35,1.8,1.7,1.6,2.05,2.05,5.5,-3.5,8.5,-3.5,-5.5,-8.5,3.5,3.5,1.91,1.85,1.91,1.85,1.91,1.91,1.97,1.97,164.5,162.5,164.5,162.5,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,1.86,1.86,1.93,0.0699999999999998
"10",10,10,10,"2019","16:35:00","Gold Coast","North Melbourne","Metricon Stadium",72,99,NA,11,6,14,15,3.17,1.35,9,2.18,2.18,3.35,3.2,1.7,1.33,1.7,1.38,5.5,5.5,21.5,17.5,-5.5,-21.5,-5.5,-17.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,149.5,136.5,149.5,136.5,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,3.17,1.35,3.17,1.82
