"","Date","Round","Day","Year","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket","Rain","rain.prior.day","rain.2days.prior","rain.3days.prior","rain.past.three.days","Home.Injuries.top5","Home.Injuries.top10","Home.Injuries.top25","Home.Injuries.top50","Home.Injuries.Total","Home.Rating.Points.Missing","Away.Injuries.top5","Away.Injuries.top10","Away.Injuries.top25","Away.Injuries.top50","Away.Injuries.Total","Away.Rating.Points.Missing","Total.Injuries.top5","Total.Injuries.top10","Total.Injuries.top25","Total.Injuries.top50","Total.Injuries.Total","Total.Rating.Points.Missing"
"1",2012-05-19,8,"Sat",2012,"Western Bulldogs","Gold Coast",8724,"Marrara",1.14,5.48,"NA",1.14,5.48,4.34,9208.53846153846,-484.538461538461,9218,-494,-0.0535908006075071,7,"0","0","0","0","0",0,0,0,0,2,118.5,0,0,0,2,2,152.083333333333,0,0,0,2,4,270.583333333333
"2",2012-07-21,17,"Sat",2012,"Melbourne","Port Adelaide",6714,"Marrara",2.24,1.63,"NA",1.63,2.24,0.61,9208.53846153846,-2494.53846153846,8950.11111111111,-2236.11111111111,-0.249841715186652,7,"0","0","0","0","0",0,0,0,1,3,168.192857142857,0,0,0,0,0,0,0,0,0,1,3,168.192857142857
"3",2013-06-01,10,"Sat",2013,"Western Bulldogs","Port Adelaide",7850,"Marrara",2.57,1.5,"NA",1.5,2.57,1.07,9208.53846153846,-1358.53846153846,9218,-1368,-0.14840529399002,7,"0.4","0","0","0","0",0,1,1,2,2,172.574358974359,0,0,0,0,1,57.75,0,1,1,2,3,230.324358974359
"4",2013-07-20,17,"Sat",2013,"Melbourne","Brisbane Lions",7615,"Marrara",3.96,1.25,"NA",1.25,3.96,2.71,9208.53846153846,-1593.53846153846,8950.11111111111,-1335.11111111111,-0.149172573897282,7,"0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2014-07-05,16,"Sat",2014,"Melbourne","Fremantle",9290,"Marrara",5.4,1.15,"146.5",1.15,5.4,4.25,9208.53846153846,81.461538461539,8950.11111111111,339.888888888889,0.0379759407083711,7,"0","0","0","0","0",0,0,0,0,1,62,0,0,1,1,2,149.572222222222,0,0,1,1,3,211.572222222222
"6",2015-07-04,14,"Sat",2015,"Melbourne","West Coast",11873,"Marrara",4.53,1.2,"163.5",1.2,4.53,3.33,9208.53846153846,2664.46153846154,8950.11111111111,2922.88888888889,0.326575709798761,7,"0","0","0","0","0",0,0,0,0,1,63.4210526315789,0,0,0,0,0,0,0,0,0,0,1,63.4210526315789
"7",2016-07-09,16,"Sat",2016,"Melbourne","Fremantle",8163,"Marrara",1.51,2.53,"166.5",1.51,2.53,1.02,9208.53846153846,-1045.53846153846,8950.11111111111,-787.111111111111,-0.0879442837457015,7,"0","0","0","0","0",0,0,0,0,0,0,0,0,1,1,1,98.1538461538461,0,0,1,1,1,98.1538461538461
"8",2017-07-15,17,"Sat",2017,"Melbourne","Adelaide",12104,"Marrara",3.29,1.33,"178.5",1.33,3.29,1.96,9208.53846153846,2895.46153846154,8950.11111111111,3153.88888888889,0.352385445245869,7,"0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,1,58.3125,0,0,0,0,1,58.3125
"9",2018-07-07,16,"Sat",2018,"Melbourne","Fremantle",8689,"Marrara",1.08,7.43,"164.5",1.08,7.43,6.35,9208.53846153846,-519.538461538461,8950.11111111111,-261.111111111111,-0.0291740636367022,7,"0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2014-05-31,11,"Sat",2014,"Melbourne","Port Adelaide",5655,"Traeger",6.04,1.12,"172.5",1.12,6.04,4.92,5545.6,109.4,5545.6,109.4,0.0197273514137333,1,"0","0","0","0","0",0,0,0,0,1,66.6666666666666,0,0,1,1,3,221.428013163307,0,0,1,1,4,288.094679829974
