"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"1",13,22,"Sat",2009-08-29,2009,1899-12-31 01:10:00,"Geelong","Fremantle",18196,"Kardinia",1.05,9,"NA",1.05,9,7.95,24884.9718309859,-6688.97183098592,24884.9718309859,-6688.97183098592,-0.268795636033513,1
"2",45,18,"Sat",2009-08-01,2009,1899-12-31 02:10:00,"Geelong","Adelaide",21686,"Kardinia",1.25,3.7,"NA",1.25,3.7,2.45,24884.9718309859,-3198.97183098592,24884.9718309859,-3198.97183098592,-0.128550349693491,2
"3",52,17,"Sat",2009-07-25,2009,1899-12-31 02:10:00,"Geelong","Hawthorn",64803,"M.C.G.",1.39,2.95,"NA",1.39,2.95,1.56,50394.4829157175,14408.5170842825,63025.65,1777.35,0.0282004231610463,2
"4",60,16,"Sat",2009-07-18,2009,1899-12-31 02:10:00,"Geelong","Melbourne",21160,"Kardinia",1.04,10.25,"NA",1.04,10.25,9.21,24884.9718309859,-3724.97183098592,24884.9718309859,-3724.97183098592,-0.149687604883993,2
"5",81,13,"Sun",2009-06-28,2009,1899-12-31 01:10:00,"Geelong","Port Adelaide",21142,"Kardinia",1.05,8.63,"NA",1.05,8.63,7.58,24884.9718309859,-3742.97183098592,24884.9718309859,-3742.97183098592,-0.150410933008383,1
"6",96,22,"Sat",2010-08-28,2010,1899-12-31 01:10:00,"Geelong","West Coast",24099,"Kardinia",1.02,14.5,"NA",1.02,14.5,13.48,24884.9718309859,-785.971830985916,24884.9718309859,-785.971830985916,-0.0315841961294588,1
"7",105,21,"Fri",2010-08-20,2010,1899-12-31 07:40:00,"Geelong","Carlton",45172,"Docklands",1.17,4.82,"NA",1.17,4.82,3.65,31157.9865168539,14014.0134831461,39256,5916,0.150703077236601,7
"8",117,19,"Sat",2010-08-07,2010,1899-12-31 07:10:00,"Geelong","Collingwood",84401,"M.C.G.",1.76,1.99,"NA",1.76,1.99,0.23,50394.4829157175,34006.5170842825,63025.65,21375.35,0.339153186044095,7
"9",135,17,"Sat",2010-07-24,2010,1899-12-31 02:10:00,"Geelong","Brisbane Lions",24508,"Kardinia",1.06,8.69,"NA",1.06,8.69,7.63,24884.9718309859,-376.971830985916,24884.9718309859,-376.971830985916,-0.0151485737474906,2
"10",151,15,"Sat",2010-07-10,2010,1899-12-31 02:10:00,"Geelong","Hawthorn",69220,"M.C.G.",1.33,3.18,"NA",1.33,3.18,1.85,50394.4829157175,18825.5170842825,63025.65,6194.35,0.0982830006513221,2
"11",156,14,"Sun",2010-07-04,2010,1899-12-31 01:10:00,"Geelong","North Melbourne",25159,"Kardinia",1.14,5.38,"NA",1.14,5.38,4.24,24884.9718309859,274.028169014084,24884.9718309859,274.028169014084,0.0110117934179404,1
"12",192,10,"Sat",2010-05-29,2010,1899-12-31 02:10:00,"Geelong","Melbourne",24525,"Kardinia",1.04,10.25,"NA",1.04,10.25,9.21,24884.9718309859,-359.971830985916,24884.9718309859,-359.971830985916,-0.0144654305189002,2
"13",212,7,"Sun",2010-05-09,2010,1899-12-31 01:10:00,"Geelong","Sydney",25970,"Kardinia",1.27,3.71,"NA",1.27,3.71,2.44,24884.9718309859,1085.02816901408,24884.9718309859,1085.02816901408,0.0436017439112808,1
"14",220,6,"Sun",2010-05-02,2010,1899-12-31 01:10:00,"Geelong","Richmond",24106,"Kardinia",1.03,12.25,"NA",1.03,12.25,11.22,24884.9718309859,-778.971830985916,24884.9718309859,-778.971830985916,-0.0313029018588628,1
"15",235,4,"Sun",2010-04-18,2010,1899-12-31 02:10:00,"Geelong","Port Adelaide",25539,"Kardinia",1.13,5.7,"NA",1.13,5.7,4.57,24884.9718309859,654.028169014084,24884.9718309859,654.028169014084,0.0262820538217251,2
"16",264,1,"Fri",2010-03-26,2010,1899-12-31 07:40:00,"Geelong","Essendon",57772,"M.C.G.",1.21,4.28,"NA",1.21,4.28,3.07,50394.4829157175,7377.51708428246,63025.65,-5253.65,-0.0833573314991595,7
"17",279,23,"Sat",2011-08-27,2011,1899-12-31 02:10:00,"Geelong","Sydney",25900,"Kardinia",1.07,8.35,"NA",1.07,8.35,7.28,24884.9718309859,1015.02816901408,24884.9718309859,1015.02816901408,0.0407888012053204,2
"18",304,20,"Sat",2011-08-06,2011,1899-12-31 01:40:00,"Geelong","Gold Coast",24588,"Kardinia",1.01,17.03,"NA",1.01,17.03,16.02,24884.9718309859,-296.971830985916,24884.9718309859,-296.971830985916,-0.0119337820835359,1
"19",310,19,"Sat",2011-07-30,2011,1899-12-31 02:10:00,"Geelong","Melbourne",22716,"Kardinia",1.07,8.33,"NA",1.07,8.33,7.26,24884.9718309859,-2168.97183098592,24884.9718309859,-2168.97183098592,-0.0871599070200749,2
"20",315,18,"Sun",2011-07-24,2011,1899-12-31 01:10:00,"Geelong","Richmond",33761,"Docklands",1.06,8.8,"NA",1.06,8.8,7.74,31157.9865168539,2603.01348314607,39256,-5495,-0.139978601997147,1
"21",346,14,"Sun",2011-06-26,2011,1899-12-31 01:10:00,"Geelong","Adelaide",23246,"Kardinia",1.06,8.92,"NA",1.06,8.92,7.86,24884.9718309859,-1638.97183098592,24884.9718309859,-1638.97183098592,-0.0658619122463753,1
"22",364,12,"Sat",2011-06-11,2011,1899-12-31 07:10:00,"Geelong","Hawthorn",63476,"M.C.G.",1.44,2.73,"NA",1.44,2.73,1.29,50394.4829157175,13081.5170842825,63025.65,450.349999999999,0.00714550345771918,7
"23",373,11,"Sat",2011-06-04,2011,1899-12-31 02:10:00,"Geelong","Western Bulldogs",25078,"Kardinia",1.11,6.55,"NA",1.11,6.55,5.44,24884.9718309859,193.028169014084,24884.9718309859,193.028169014084,0.00775681685818634,2
"24",399,8,"Fri",2011-05-13,2011,1899-12-31 07:40:00,"Geelong","Collingwood",81691,"M.C.G.",2.62,1.48,"NA",1.48,2.62,1.14,50394.4829157175,31296.5170842825,63025.65,18665.35,0.296154819506027,7
"25",405,7,"Sat",2011-05-07,2011,1899-12-31 02:10:00,"Geelong","North Melbourne",23669,"Kardinia",1.07,8.35,"NA",1.07,8.35,7.28,24884.9718309859,-1215.97183098592,24884.9718309859,-1215.97183098592,-0.0488637013232151,2
"26",430,3,"Sun",2011-04-10,2011,1899-12-31 02:10:00,"Geelong","Port Adelaide",22420,"Kardinia",1.07,7.96,"NA",1.07,7.96,6.89,24884.9718309859,-2464.97183098592,24884.9718309859,-2464.97183098592,-0.0990546361767072,2
"27",451,1,"Fri",2011-03-25,2011,1899-12-31 07:45:00,"Geelong","St Kilda",42869,"M.C.G.",2.18,1.68,"NA",1.68,2.18,0.5,50394.4829157175,-7525.48291571754,63025.65,-20156.65,-0.319816614346699,7
"28",460,23,"Sat",2012-09-01,2012,1899-12-31 01:45:00,"Geelong","Sydney",20045,"Kardinia",1.65,2.2,"NA",1.65,2.2,0.55,24884.9718309859,-4839.97183098592,24884.9718309859,-4839.97183098592,-0.194493763700361,1
"29",464,22,"Sun",2012-08-26,2012,1899-12-31 01:10:00,"Geelong","Western Bulldogs",18047,"Kardinia",1.02,15.55,"NA",1.02,15.55,14.53,24884.9718309859,-6837.97183098592,24884.9718309859,-6837.97183098592,-0.274783185507629,1
"30",479,21,"Fri",2012-08-17,2012,1899-12-31 07:50:00,"Geelong","St Kilda",38169,"Docklands",1.31,3.38,"NA",1.31,3.38,2.07,31157.9865168539,7011.01348314607,39256,-1087,-0.0276900346443856,7
"31",505,18,"Sat",2012-07-28,2012,1899-12-31 01:45:00,"Geelong","Adelaide",18377,"Kardinia",1.61,2.27,"NA",1.61,2.27,0.66,24884.9718309859,-6507.97183098592,24884.9718309859,-6507.97183098592,-0.261522169893816,1
"32",515,17,"Fri",2012-07-20,2012,1899-12-31 07:50:00,"Geelong","Essendon",50066,"Docklands",2.02,1.76,"NA",1.76,2.02,0.26,31157.9865168539,18908.0134831461,39256,10810,0.275371917668637,7
"33",520,16,"Sat",2012-07-14,2012,1899-12-31 07:40:00,"Geelong","Collingwood",61717,"M.C.G.",2.65,1.48,"NA",1.48,2.65,1.17,50394.4829157175,11322.5170842825,63025.65,-1308.65,-0.0207637684022299,7
"34",536,14,"Sun",2012-07-01,2012,1899-12-31 01:10:00,"Geelong","Port Adelaide",13736,"Kardinia",1.04,11.25,"NA",1.04,11.25,10.21,24884.9718309859,-11148.9718309859,24884.9718309859,-11148.9718309859,-0.448020271298985,1
"35",568,10,"Sat",2012-06-02,2012,1899-12-31 01:45:00,"Geelong","Greater Western Sydney",17243,"Kardinia",1.01,19.57,"NA",1.01,19.57,18.56,24884.9718309859,-7641.97183098592,24884.9718309859,-7641.97183098592,-0.307091841730373,1
"36",603,6,"Sat",2012-05-05,2012,1899-12-31 01:45:00,"Geelong","Melbourne",18010,"Kardinia",1.03,11.68,"NA",1.03,11.68,10.65,24884.9718309859,-6874.97183098592,24884.9718309859,-6874.97183098592,-0.276270026652208,1
"37",617,4,"Sun",2012-04-22,2012,1899-12-31 01:10:00,"Geelong","Richmond",21952,"Kardinia",1.15,5.19,"NA",1.15,5.19,4.04,24884.9718309859,-2932.97183098592,24884.9718309859,-2932.97183098592,-0.117861167410842,1
"38",633,2,"Mon",2012-04-09,2012,1899-12-31 03:10:00,"Geelong","Hawthorn",69231,"M.C.G.",2.48,1.53,"NA",1.53,2.48,0.95,50394.4829157175,18836.5170842825,63025.65,6205.35,0.0984575327664213,3
"39",657,23,"Sat",2013-08-31,2013,1899-12-31 02:10:00,"Geelong","Brisbane Lions",27467,"Kardinia",1.04,10.44,"NA",1.04,10.44,9.4,24884.9718309859,2582.02816901408,24884.9718309859,2582.02816901408,0.103758532923032,2
"40",665,22,"Sat",2013-08-24,2013,1899-12-31 04:40:00,"Geelong","Sydney",28459,"Kardinia",1.46,2.71,"NA",1.46,2.71,1.25,24884.9718309859,3574.02816901408,24884.9718309859,3574.02816901408,0.14362194955607,4
"41",684,20,"Sat",2013-08-10,2013,1899-12-31 02:10:00,"Geelong","Port Adelaide",24784,"Kardinia",1.11,6.53,"NA",1.11,6.53,5.42,24884.9718309859,-100.971830985916,24884.9718309859,-100.971830985916,-0.00405754250684703,2
"42",700,18,"Sat",2013-07-27,2013,1899-12-31 07:40:00,"Geelong","St Kilda",26833,"Kardinia",1.07,8.27,"NA",1.07,8.27,7.2,24884.9718309859,1948.02816901408,24884.9718309859,1948.02816901408,0.0782813089861916,7
