"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"1",13,22,"Sat",2009-08-29,2009,1899-12-31 01:10:00,"Geelong","Fremantle",18196,"Kardinia",1.05,9,"NA",1.05,9,7.95,24884.9718309859,-6688.97183098592,24884.9718309859,-6688.97183098592,-0.268795636033513,1
"2",22,21,"Fri",2009-08-21,2009,1899-12-31 07:40:00,"Western Bulldogs","Geelong",46818,"Docklands",2.24,1.61,"NA",1.61,2.24,0.63,31157.9865168539,15660.0134831461,28841.2391304348,17976.7608695652,0.623300572775848,7
"3",27,20,"Sat",2009-08-15,2009,1899-12-31 07:10:00,"Sydney","Geelong",40261,"Stadium",2.61,1.45,"NA",1.45,2.61,1.16,33788.3,6472.7,34104.0555555556,6156.94444444445,0.180534084411597,7
"4",38,19,"Fri",2009-08-07,2009,1899-12-31 07:40:00,"Carlton","Geelong",55057,"M.C.G.",3.15,1.35,"NA",1.35,3.15,1.8,50394.4829157175,4662.51708428246,52695.2941176471,2361.70588235294,0.0448181554330112,7
"5",45,18,"Sat",2009-08-01,2009,1899-12-31 02:10:00,"Geelong","Adelaide",21686,"Kardinia",1.25,3.7,"NA",1.25,3.7,2.45,24884.9718309859,-3198.97183098592,24884.9718309859,-3198.97183098592,-0.128550349693491,2
"6",52,17,"Sat",2009-07-25,2009,1899-12-31 02:10:00,"Geelong","Hawthorn",64803,"M.C.G.",1.39,2.95,"NA",1.39,2.95,1.56,50394.4829157175,14408.5170842825,63025.65,1777.35,0.0282004231610463,2
"7",60,16,"Sat",2009-07-18,2009,1899-12-31 02:10:00,"Geelong","Melbourne",21160,"Kardinia",1.04,10.25,"NA",1.04,10.25,9.21,24884.9718309859,-3724.97183098592,24884.9718309859,-3724.97183098592,-0.149687604883993,2
"8",67,15,"Sat",2009-07-11,2009,1899-12-31 07:10:00,"Brisbane Lions","Geelong",34274,"Gabba",2.28,1.57,"NA",1.57,2.28,0.71,20680.4862385321,13593.5137614679,20786.5428571429,13487.4571428571,0.648855234636695,7
"9",71,14,"Sun",2009-07-05,2009,1899-12-31 03:10:00,"St Kilda","Geelong",54444,"Docklands",2.3,1.56,"NA",1.56,2.3,0.74,31157.9865168539,23286.0134831461,30626.3473684211,23817.6526315789,0.777685054801456,3
"10",81,13,"Sun",2009-06-28,2009,1899-12-31 01:10:00,"Geelong","Port Adelaide",21142,"Kardinia",1.05,8.63,"NA",1.05,8.63,7.58,24884.9718309859,-3742.97183098592,24884.9718309859,-3742.97183098592,-0.150410933008383,1
"11",87,12,"Sun",2009-06-21,2009,1899-12-31 02:40:00,"Fremantle","Geelong",33213,"Subiaco",7.25,1.08,"NA",1.08,7.25,6.17,35153.3529411765,-1940.35294117647,34175.9680851064,-962.968085106382,-0.0281767610125443,2
"12",96,22,"Sat",2010-08-28,2010,1899-12-31 01:10:00,"Geelong","West Coast",24099,"Kardinia",1.02,14.5,"NA",1.02,14.5,13.48,24884.9718309859,-785.971830985916,24884.9718309859,-785.971830985916,-0.0315841961294588,1
"13",105,21,"Fri",2010-08-20,2010,1899-12-31 07:40:00,"Geelong","Carlton",45172,"Docklands",1.17,4.82,"NA",1.17,4.82,3.65,31157.9865168539,14014.0134831461,39256,5916,0.150703077236601,7
"14",110,20,"Sat",2010-08-14,2010,1899-12-31 07:10:00,"Western Bulldogs","Geelong",42199,"Docklands",2.38,1.56,"NA",1.56,2.38,0.82,31157.9865168539,11041.0134831461,28841.2391304348,13357.7608695652,0.463147953149815,7
"15",117,19,"Sat",2010-08-07,2010,1899-12-31 07:10:00,"Geelong","Collingwood",84401,"M.C.G.",1.76,1.99,"NA",1.76,1.99,0.23,50394.4829157175,34006.5170842825,63025.65,21375.35,0.339153186044095,7
