"","Season","Date","Round","Team","Opposition","Out","Reason"
"1","2012","Apr 05, 2012","2","Brisbane Lions","Carlton","Sam Sheldon","Omitted"
"2","2012","Apr 07, 2012","2","Essendon","Port Adelaide","Heath Hocking","Concussion"
"3","2012","Apr 07, 2012","2","Essendon","Port Adelaide","Cale Hooker","Ankle"
"4","2012","Apr 07, 2012","2","Port Adelaide","Essendon","John Butcher","Hamstring"
"5","2012","Apr 07, 2012","2","Sydney Swans","Fremantle","Harry Cunningham","Omitted"
"6","2012","Apr 07, 2012","2","Sydney Swans","Fremantle","Andrejs Everitt","Omitted"
"7","2012","Apr 07, 2012","2","Sydney Swans","Fremantle","Shane Mumford","Omitted"
"8","2012","Apr 07, 2012","2","Fremantle","Sydney Swans","Hayden Ballantyne","Suspension"
"9","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Sam Blease","Omitted"
"10","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Aaron Davey","Omitted"
"11","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Brent Moloney","Groin"
"12","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Josh Tynan","Omitted"
"13","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Stefan Martin","Omitted"
"14","2012","Apr 07, 2012","2","Adelaide Crows","Western Bulldogs","Christian Howard","Knee"
"15","2012","Apr 07, 2012","2","Adelaide Crows","Western Bulldogs","Mitch Wallis","Omitted"
"16","2012","Apr 07, 2012","2","Collingwood","Richmond","Luke Rounds","Omitted"
"17","2012","Apr 07, 2012","2","Collingwood","Richmond","Peter Yagmoor","Omitted"
"18","2012","Apr 07, 2012","2","Richmond","Collingwood","Addam Maric","Omitted"
"19","2012","Apr 07, 2012","2","Richmond","Collingwood","Jayden Post","Omitted"
"20","2012","Apr 08, 2012","2","North Melbourne","GWS Giants","Robbie Tarrant","Injured"
"21","2012","Apr 08, 2012","2","GWS Giants","North Melbourne","Adam Tomlinson","Omitted"
"22","2012","Apr 08, 2012","2","GWS Giants","North Melbourne","James McDonald","Suspension"
"23","2012","Apr 08, 2012","2","St Kilda","Gold Coast Suns","Brett Peake","Omitted"
"24","2012","Apr 08, 2012","2","St Kilda","Gold Coast Suns","Farren Ray","Omitted"
"25","2012","Apr 08, 2012","2","St Kilda","Gold Coast Suns","Dean Polo","Suspension"
"26","2012","Apr 08, 2012","2","Gold Coast Suns","St Kilda","Daniel Gorringe","Achilles"
"27","2012","Apr 08, 2012","2","Gold Coast Suns","St Kilda","Sam Iles","Omitted"
"28","2012","Apr 08, 2012","2","Gold Coast Suns","St Kilda","Seb Tape","Teeth"
"29","2012","Apr 09, 2012","2","Geelong Cats","Hawthorn","Matthew Scarlett","Suspension"
"30","2012","Apr 09, 2012","2","Geelong Cats","Hawthorn","Orren Stephenson","Omitted"
"31","2012","Apr 09, 2012","2","Hawthorn","Geelong Cats","Jarrad Boumann","Omitted"
"32","2012","Apr 13, 2012","3","Carlton","Collingwood","Bret Thornton","Omitted"
"33","2012","Apr 13, 2012","3","Carlton","Collingwood","Jordan Russell","Omitted"
"34","2012","Apr 13, 2012","3","Collingwood","Carlton","Jackson Paine","Omitted"
"35","2012","Apr 13, 2012","3","Collingwood","Carlton","Chris Tarrant","Calf"
"36","2012","Apr 13, 2012","3","Collingwood","Carlton","Paul Seedsman","Omitted"
"37","2012","Apr 14, 2012","3","Richmond","Melbourne","Jake King","Knee"
"38","2012","Apr 14, 2012","3","Melbourne","Richmond","Brad Green","Omitted"
"39","2012","Apr 14, 2012","3","Melbourne","Richmond","Jamie Bennell","Omitted"
"40","2012","Apr 14, 2012","3","Melbourne","Richmond","Ricky Petterd","Omitted"
"41","2012","Apr 14, 2012","3","Melbourne","Richmond","Joel MacDonald","Omitted"
"42","2012","Apr 14, 2012","3","Port Adelaide","Sydney Swans","David Rodan","Omitted"
"43","2012","Apr 14, 2012","3","Sydney Swans","Port Adelaide","Nick Smith","Virus"
"44","2012","Apr 14, 2012","3","Sydney Swans","Port Adelaide","Lewis Roberts-Thomson","Cheekbone"
"45","2012","Apr 14, 2012","3","Sydney Swans","Port Adelaide","Mark Seaby","Omitted"
"46","2012","Apr 14, 2012","3","Fremantle","Brisbane Lions","John Anthony","Omitted"
"47","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Ben Hudson","Omitted"
"48","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Rohan Bewick","Omitted"
"49","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Niall McKeever","Omitted"
"50","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Cheynee Stiller","Omitted"
"51","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Simon Black","Hand"
"52","2012","Apr 14, 2012","3","Western Bulldogs","St Kilda","Tory Dickson","Omitted"
"53","2012","Apr 14, 2012","3","St Kilda","Western Bulldogs","Tom Ledger","Omitted"
"54","2012","Apr 14, 2012","3","Gold Coast Suns","Essendon","Steven May","Rested"
"55","2012","Apr 14, 2012","3","Gold Coast Suns","Essendon","Jeremy Taylor","Omitted"
"56","2012","Apr 14, 2012","3","Gold Coast Suns","Essendon","Tom Hickey","Omitted"
"57","2012","Apr 14, 2012","3","Gold Coast Suns","Essendon","Campbell Brown","Groin"
"58","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","David Hille","Calf"
"59","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","Mark McVeigh","Soreness"
"60","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","Sam Lonergan","Suspension"
"61","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","David Myers","Hamstring"
"62","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","Nathan Lovett-Murray","Hamstring"
"63","2012","Apr 15, 2012","3","GWS Giants","West Coast Eagles","Nathan Wilson","Omitted"
"64","2012","Apr 15, 2012","3","GWS Giants","West Coast Eagles","Dom Tyson","Injured"
"65","2012","Apr 15, 2012","3","GWS Giants","West Coast Eagles","Will Hoskin-Elliott","Omitted"
"66","2012","Apr 15, 2012","3","West Coast Eagles","GWS Giants","Matt Priddis","Quad"
"67","2012","Apr 15, 2012","3","West Coast Eagles","GWS Giants","Andrew Embley","Shoulder"
"68","2012","Apr 15, 2012","3","West Coast Eagles","GWS Giants","Darren Glass","Groin"
"69","2012","Apr 15, 2012","3","West Coast Eagles","GWS Giants","Matt Rosa","Quad"
"70","2012","Apr 15, 2012","3","Hawthorn","Adelaide Crows","Chance Bateman","Omitted"
"71","2012","Apr 15, 2012","3","Hawthorn","Adelaide Crows","Isaac Smith","Back"
"72","2012","Apr 15, 2012","3","Hawthorn","Adelaide Crows","Broc McCauley","Omitted"
"73","2012","Apr 15, 2012","3","Adelaide Crows","Hawthorn","Richard Douglas","Hamstring"
"74","2012","Apr 15, 2012","3","Adelaide Crows","Hawthorn","Ricky Henderson","Omitted"
"75","2012","Apr 15, 2012","3","North Melbourne","Geelong Cats","Cameron Delaney","Omitted"
"76","2012","Apr 15, 2012","3","North Melbourne","Geelong Cats","Aaron Mullett","Omitted"
"77","2012","Apr 15, 2012","3","Geelong Cats","North Melbourne","Mitch W. Brown","Omitted"
"78","2012","Apr 15, 2012","3","Geelong Cats","North Melbourne","Mathew Stokes","Injured"
"79","2012","Apr 15, 2012","3","Geelong Cats","North Melbourne","Billie Smedts","Injured"
"80","2012","Apr 20, 2012","4","St Kilda","Fremantle","Nathan Fyfe","Omitted"
"81","2012","Apr 20, 2012","4","St Kilda","Fremantle","Kepler Bradley","Omitted"
"82","2012","Apr 20, 2012","4","St Kilda","Fremantle","Joshua Mellington","Hamstring"
"83","2012","Apr 21, 2012","4","Carlton","Essendon","Dennis Armfield","Knee"
"84","2012","Apr 21, 2012","4","Essendon","Carlton","Courtenay Dempsey","Hamstring"
"85","2012","Apr 21, 2012","4","Essendon","Carlton","Kyle Reimers","Omitted"
"86","2012","Apr 21, 2012","4","Essendon","Carlton","Jake Carlisle","Soreness"
"87","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Cameron Wood","Omitted"
"88","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Luke Ball","Knee"
"89","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Dale Thomas","Hamstring"
"90","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Heath Shaw","Hamstring"
"91","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Ben Reid","Quad"
"92","2012","Apr 21, 2012","4","Port Adelaide","Collingwood","Cameron O'Shea","Omitted"
"93","2012","Apr 21, 2012","4","Port Adelaide","Collingwood","Jarrad Redden","Rested"
"94","2012","Apr 21, 2012","4","Port Adelaide","Collingwood","Matt Thomas","Omitted"
"95","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Tom T. Lynch","Omitted"
"96","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Andy Otten","Omitted"
"97","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Sam Kerridge","Omitted"
"98","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Ian Callinan","Omitted"
"99","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Graham Johncock","Thigh"
"100","2012","Apr 21, 2012","4","GWS Giants","Adelaide Crows","Jeremy Cameron","Soreness"
"101","2012","Apr 21, 2012","4","GWS Giants","Adelaide Crows","Stephen Coniglio","Omitted"
"102","2012","Apr 21, 2012","4","GWS Giants","Adelaide Crows","Toby Greene","Soreness"
"103","2012","Apr 21, 2012","4","Brisbane Lions","Gold Coast Suns","Matthew Leuenberger","Achilles"
