"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"1",33,19,"Sun",2009-08-09,2009,1899-12-31 01:10:00,"North Melbourne","Melbourne",16594,"Docklands",1.34,3.17,"NA",1.34,3.17,1.83,31157.9865168539,-14563.9865168539,27670.4819277108,-11076.4819277108,-0.400299566760281,1
"2",46,18,"Fri",2009-07-31,2009,1899-12-31 07:40:00,"North Melbourne","Carlton",38554,"Docklands",3.38,1.3,"NA",1.3,3.38,2.08,31157.9865168539,7396.01348314607,27670.4819277108,10883.5180722892,0.393325931247687,7
"3",80,13,"Sun",2009-06-28,2009,1899-12-31 02:10:00,"North Melbourne","Western Bulldogs",31470,"M.C.G.",5.03,1.16,"NA",1.16,5.03,3.87,50394.4829157175,-18924.4829157175,31470,0,0,2
"4",106,20,"Sun",2010-08-15,2010,1899-12-31 04:40:00,"North Melbourne","St Kilda",23118,"Docklands",3.98,1.24,"NA",1.24,3.98,2.74,31157.9865168539,-8039.98651685393,27670.4819277108,-4552.48192771084,-0.164524851414016,4
"5",119,19,"Sat",2010-08-07,2010,1899-12-31 02:10:00,"North Melbourne","Fremantle",14891,"Docklands",1.83,1.9,"NA",1.83,1.9,0.0699999999999998,31157.9865168539,-16266.9865168539,27670.4819277108,-12779.4819277108,-0.461845296409988,2
"6",133,17,"Sat",2010-07-24,2010,1899-12-31 07:10:00,"North Melbourne","Essendon",30330,"Docklands",1.43,2.73,"NA",1.43,2.73,1.3,31157.9865168539,-827.986516853933,27670.4819277108,2659.51807228916,0.0961139050355953,7
"7",166,13,"Sun",2010-06-20,2010,1899-12-31 01:10:00,"North Melbourne","Port Adelaide",15109,"Docklands",1.35,3.08,"NA",1.35,3.08,1.73,31157.9865168539,-16048.9865168539,27670.4819277108,-12561.4819277108,-0.453966864781312,1
"8",177,12,"Fri",2010-06-11,2010,1899-12-31 07:40:00,"North Melbourne","Carlton",43732,"Docklands",3.7,1.27,"NA",1.27,3.7,2.43,31157.9865168539,12574.0134831461,27670.4819277108,16061.5180722892,0.580456752226068,7
"9",181,11,"Sat",2010-06-05,2010,1899-12-31 07:10:00,"North Melbourne","Brisbane Lions",19100,"Docklands",2.35,1.56,"NA",1.56,2.35,0.79,31157.9865168539,-12057.9865168539,27670.4819277108,-8570.48192771084,-0.309733742625128,7
"10",200,9,"Sat",2010-05-22,2010,1899-12-31 02:10:00,"North Melbourne","Western Bulldogs",30794,"Docklands",4.21,1.22,"NA",1.22,4.21,2.99,31157.9865168539,-363.986516853933,27670.4819277108,3123.51807228916,0.112882676942503,2
"11",205,8,"Sat",2010-05-15,2010,1899-12-31 07:10:00,"North Melbourne","Adelaide",16479,"Docklands",1.61,2.24,"NA",1.61,2.24,0.63,31157.9865168539,-14678.9865168539,27670.4819277108,-11191.4819277108,-0.404455620142381,7
"12",224,6,"Sat",2010-05-01,2010,1899-12-31 02:10:00,"North Melbourne","Melbourne",26763,"Docklands",1.99,1.75,"NA",1.75,1.99,0.24,31157.9865168539,-4394.98651685393,27670.4819277108,-907.481927710844,-0.0327960289987591,2
"13",240,4,"Sat",2010-04-17,2010,1899-12-31 02:10:00,"North Melbourne","Sydney",23646,"Docklands",2.57,1.48,"NA",1.48,2.57,1.09,31157.9865168539,-7511.98651685393,27670.4819277108,-4024.48192771084,-0.145443145450983,2
"14",248,3,"Sat",2010-04-10,2010,1899-12-31 02:10:00,"North Melbourne","West Coast",18394,"Docklands",1.85,1.91,"NA",1.85,1.91,0.0599999999999998,31157.9865168539,-12763.9865168539,27670.4819277108,-9276.48192771084,-0.335248296431759,2
"15",286,22,"Sat",2011-08-20,2011,1899-12-31 07:10:00,"North Melbourne","Fremantle",17581,"Docklands",1.34,3.18,"NA",1.34,3.18,1.84,31157.9865168539,-13576.9865168539,27670.4819277108,-10089.4819277108,-0.364629786863475,7
"16",312,19,"Fri",2011-07-29,2011,1899-12-31 07:40:00,"North Melbourne","Carlton",41332,"Docklands",3.52,1.3,"NA",1.3,3.52,2.22,31157.9865168539,10174.0134831461,27670.4819277108,13661.5180722892,0.493721725121372,7
"17",318,18,"Sat",2011-07-23,2011,1899-12-31 02:10:00,"North Melbourne","Brisbane Lions",20809,"Docklands",1.12,6.24,"NA",1.12,6.24,5.12,31157.9865168539,-10348.9865168539,27670.4819277108,-6861.48192771084,-0.247971175407659,2
"18",321,17,"Sun",2011-07-17,2011,1899-12-31 04:40:00,"North Melbourne","Western Bulldogs",22754,"Docklands",3.04,1.37,"NA",1.37,3.04,1.67,31157.9865168539,-8403.98651685393,27670.4819277108,-4916.48192771084,-0.177679663858228,4
"19",336,15,"Sun",2011-07-03,2011,1899-12-31 04:40:00,"North Melbourne","St Kilda",29693,"Docklands",1.97,1.79,"NA",1.79,1.97,0.18,31157.9865168539,-1464.98651685393,27670.4819277108,2022.51807228916,0.0730929832582239,4
"20",369,11,"Sun",2011-06-05,2011,1899-12-31 02:10:00,"North Melbourne","Adelaide",18185,"Docklands",1.6,2.29,"NA",1.6,2.29,0.69,31157.9865168539,-12972.9865168539,27670.4819277108,-9485.48192771084,-0.342801471708793,2
"21",381,10,"Sat",2011-05-28,2011,1899-12-31 02:10:00,"North Melbourne","Sydney",24267,"Docklands",2.02,1.76,"NA",1.76,2.02,0.26,31157.9865168539,-6890.98651685393,27670.4819277108,-3403.48192771084,-0.123000457187643,2
"22",398,8,"Sat",2011-05-14,2011,1899-12-31 02:10:00,"North Melbourne","Melbourne",23536,"Docklands",1.81,1.95,"NA",1.81,1.95,0.14,31157.9865168539,-7621.98651685393,27670.4819277108,-4134.48192771084,-0.149418500859948,2
"23",412,6,"Sat",2011-04-30,2011,1899-12-31 02:10:00,"North Melbourne","Port Adelaide",16014,"Docklands",1.45,2.72,"NA",1.45,2.72,1.27,31157.9865168539,-15143.9865168539,27670.4819277108,-11656.4819277108,-0.421260531643916,2
"24",418,5,"Sun",2011-04-24,2011,1899-12-31 04:40:00,"North Melbourne","Richmond",36461,"Docklands",1.82,1.94,"NA",1.82,1.94,0.12,31157.9865168539,5303.01348314607,27670.4819277108,8790.51807228916,0.317685759693467,4
"25",443,2,"Sat",2011-04-02,2011,1899-12-31 02:10:00,"North Melbourne","Collingwood",40578,"Docklands",6.7,1.1,"NA",1.1,6.7,5.6,31157.9865168539,9420.01348314607,27670.4819277108,12907.5180722892,0.466472470772647,2
"26",463,22,"Sun",2012-08-26,2012,1899-12-31 03:15:00,"North Melbourne","Fremantle",26482,"Docklands",1.27,3.67,"NA",1.27,3.67,2.4,31157.9865168539,-4675.98651685393,27670.4819277108,-1188.48192771084,-0.0429512550889339,3
"27",504,18,"Sat",2012-07-28,2012,1899-12-31 02:10:00,"North Melbourne","Melbourne",20816,"Docklands",1.09,7.67,"NA",1.09,7.67,6.58,31157.9865168539,-10341.9865168539,27670.4819277108,-6854.48192771084,-0.24771819824527,2
"28",524,16,"Fri",2012-07-13,2012,1899-12-31 07:50:00,"North Melbourne","Carlton",46423,"Docklands",2.12,1.7,"NA",1.7,2.12,0.42,31157.9865168539,15265.0134831461,27670.4819277108,18752.5180722892,0.677708401367209,7
"29",532,15,"Sat",2012-07-07,2012,1899-12-31 01:45:00,"North Melbourne","West Coast",14113,"Bellerive",2.67,1.46,"NA",1.46,2.67,1.21,12573.0555555556,1539.94444444445,12573.0555555556,1539.94444444445,0.122479729580452,1
"30",543,13,"Sun",2012-06-24,2012,1899-12-31 04:40:00,"North Melbourne","Adelaide",18866,"Docklands",3.12,1.35,"NA",1.35,3.12,1.77,31157.9865168539,-12291.9865168539,27670.4819277108,-8804.48192771084,-0.318190407767836,4
"31",572,9,"Sun",2012-05-27,2012,1899-12-31 01:10:00,"North Melbourne","Brisbane Lions",19988,"Docklands",1.24,4.04,"NA",1.24,4.04,2.8,31157.9865168539,-11169.9865168539,27670.4819277108,-7682.48192771084,-0.27764178259639,1
"32",590,7,"Sun",2012-05-13,2012,1899-12-31 01:10:00,"North Melbourne","Western Bulldogs",20885,"Docklands",1.32,3.39,"NA",1.32,3.39,2.07,31157.9865168539,-10272.9865168539,27670.4819277108,-6785.48192771084,-0.24522456621601,1
"33",611,5,"Sat",2012-04-28,2012,1899-12-31 04:40:00,"North Melbourne","Gold Coast",17680,"Docklands",1.01,15.53,"NA",1.01,15.53,14.52,31157.9865168539,-13477.9865168539,27670.4819277108,-9990.48192771084,-0.361051966995406,4
"34",624,3,"Sun",2012-04-15,2012,1899-12-31 04:40:00,"North Melbourne","Geelong",29630,"Docklands",4.09,1.22,"NA",1.22,4.09,2.87,31157.9865168539,-1527.98651685393,27670.4819277108,1959.51807228916,0.0708161887967257,4
"35",635,2,"Sun",2012-04-08,2012,1899-12-31 01:10:00,"North Melbourne","Greater Western Sydney",11127,"Bellerive",1.01,15.94,"NA",1.01,15.94,14.93,12573.0555555556,-1446.05555555555,12573.0555555556,-1446.05555555555,-0.11501226167068,1
"36",644,1,"Sat",2012-03-31,2012,1899-12-31 07:45:00,"North Melbourne","Essendon",45818,"Docklands",2.14,1.66,"NA",1.66,2.14,0.48,31157.9865168539,14660.0134831461,27670.4819277108,18147.5180722892,0.6558439466179,7
"37",666,22,"Sat",2013-08-24,2013,1899-12-31 02:10:00,"North Melbourne","Hawthorn",33039,"Docklands",3.28,1.34,"NA",1.34,3.28,1.94,31157.9865168539,1881.01348314607,27670.4819277108,5368.51807228916,0.194016066880021,2
