"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"1",9,22,"Sat",2009-08-29,2009,1899-12-31 07:10:00,"Port Adelaide","North Melbourne",17284,"Football",1.38,2.94,"NA",1.38,2.94,1.56,29323.4845360825,-12039.4845360825,22682.2291666667,-5398.22916666667,-0.237993767147005,7
"2",17,21,"Sun",2009-08-23,2009,1899-12-31 01:10:00,"St Kilda","North Melbourne",30522,"Docklands",1.06,8.6,"NA",1.06,8.6,7.54,31157.9865168539,-635.986516853933,30626.3473684211,-104.347368421051,-0.00340711111141658,1
"3",28,20,"Sat",2009-08-15,2009,1899-12-31 02:10:00,"West Coast","North Melbourne",32472,"Subiaco",1.37,2.93,"NA",1.37,2.93,1.56,35153.3529411765,-2681.35294117647,36141.247311828,-3669.24731182796,-0.101525198623323,2
"4",33,19,"Sun",2009-08-09,2009,1899-12-31 01:10:00,"North Melbourne","Melbourne",16594,"Docklands",1.34,3.17,"NA",1.34,3.17,1.83,31157.9865168539,-14563.9865168539,27670.4819277108,-11076.4819277108,-0.400299566760281,1
"5",46,18,"Fri",2009-07-31,2009,1899-12-31 07:40:00,"North Melbourne","Carlton",38554,"Docklands",3.38,1.3,"NA",1.3,3.38,2.08,31157.9865168539,7396.01348314607,27670.4819277108,10883.5180722892,0.393325931247687,7
"6",50,17,"Sat",2009-07-25,2009,1899-12-31 07:10:00,"Brisbane Lions","North Melbourne",25509,"Gabba",1.15,5.03,"NA",1.15,5.03,3.88,20680.4862385321,4828.51376146789,20786.5428571429,4722.45714285714,0.227188194559942,7
"7",56,16,"Sun",2009-07-19,2009,1899-12-31 02:10:00,"Richmond","North Melbourne",30604,"M.C.G.",1.93,1.79,"NA",1.79,1.93,0.14,50394.4829157175,-19790.4829157175,50149.0454545455,-19545.0454545455,-0.389739132168744,2
"8",64,15,"Sun",2009-07-12,2009,1899-12-31 01:10:00,"Hawthorn","North Melbourne",15008,"York",1.5,2.5,"NA",1.5,2.5,1,14457.1578947368,550.842105263158,14457.1578947368,550.842105263158,0.038101687017176,1
"9",73,14,"Sun",2009-07-05,2009,1899-12-31 01:10:00,"Sydney","North Melbourne",21929,"S.C.G.",1.31,3.32,"NA",1.31,3.32,2.01,29955.7356321839,-8026.73563218391,29955.7356321839,-8026.73563218391,-0.26795321372646,1
"10",80,13,"Sun",2009-06-28,2009,1899-12-31 02:10:00,"North Melbourne","Western Bulldogs",31470,"M.C.G.",5.03,1.16,"NA",1.16,5.03,3.87,50394.4829157175,-18924.4829157175,31470,0,0,2
"11",90,22,"Sun",2010-08-29,2010,1899-12-31 04:40:00,"Melbourne","North Melbourne",31064,"M.C.G.",1.87,1.86,"NA",1.86,1.87,0.01,50394.4829157175,-19330.4829157175,35367.7023809524,-4303.70238095238,-0.121684533945586,4
"12",98,21,"Sun",2010-08-22,2010,1899-12-31 02:40:00,"West Coast","North Melbourne",32007,"Subiaco",2.25,1.61,"NA",1.61,2.25,0.64,35153.3529411765,-3146.35294117647,36141.247311828,-4134.24731182796,-0.114391384341485,2
"13",106,20,"Sun",2010-08-15,2010,1899-12-31 04:40:00,"North Melbourne","St Kilda",23118,"Docklands",3.98,1.24,"NA",1.24,3.98,2.74,31157.9865168539,-8039.98651685393,27670.4819277108,-4552.48192771084,-0.164524851414016,4
"14",119,19,"Sat",2010-08-07,2010,1899-12-31 02:10:00,"North Melbourne","Fremantle",14891,"Docklands",1.83,1.9,"NA",1.83,1.9,0.0699999999999998,31157.9865168539,-16266.9865168539,27670.4819277108,-12779.4819277108,-0.461845296409988,2
"15",123,18,"Sun",2010-08-01,2010,1899-12-31 02:10:00,"Western Bulldogs","North Melbourne",28038,"Docklands",1.16,5.02,"NA",1.16,5.02,3.86,31157.9865168539,-3119.98651685393,28841.2391304348,-803.239130434784,-0.0278503682453492,2
"16",133,17,"Sat",2010-07-24,2010,1899-12-31 07:10:00,"North Melbourne","Essendon",30330,"Docklands",1.43,2.73,"NA",1.43,2.73,1.3,31157.9865168539,-827.986516853933,27670.4819277108,2659.51807228916,0.0961139050355953,7
"17",139,16,"Sun",2010-07-18,2010,1899-12-31 02:10:00,"Richmond","North Melbourne",42723,"M.C.G.",1.74,2.01,"NA",1.74,2.01,0.27,50394.4829157175,-7671.48291571754,50149.0454545455,-7426.04545454546,-0.148079497570424,2
"18",148,15,"Sun",2010-07-11,2010,1899-12-31 01:10:00,"Sydney","North Melbourne",23856,"S.C.G.",1.42,2.78,"NA",1.42,2.78,1.36,29955.7356321839,-6099.73563218391,29955.7356321839,-6099.73563218391,-0.203624965418324,1
"19",156,14,"Sun",2010-07-04,2010,1899-12-31 01:10:00,"Geelong","North Melbourne",25159,"Kardinia",1.14,5.38,"NA",1.14,5.38,4.24,24884.9718309859,274.028169014084,24884.9718309859,274.028169014084,0.0110117934179404,1
"20",166,13,"Sun",2010-06-20,2010,1899-12-31 01:10:00,"North Melbourne","Port Adelaide",15109,"Docklands",1.35,3.08,"NA",1.35,3.08,1.73,31157.9865168539,-16048.9865168539,27670.4819277108,-12561.4819277108,-0.453966864781312,1
"21",177,12,"Fri",2010-06-11,2010,1899-12-31 07:40:00,"North Melbourne","Carlton",43732,"Docklands",3.7,1.27,"NA",1.27,3.7,2.43,31157.9865168539,12574.0134831461,27670.4819277108,16061.5180722892,0.580456752226068,7
"22",181,11,"Sat",2010-06-05,2010,1899-12-31 07:10:00,"North Melbourne","Brisbane Lions",19100,"Docklands",2.35,1.56,"NA",1.56,2.35,0.79,31157.9865168539,-12057.9865168539,27670.4819277108,-8570.48192771084,-0.309733742625128,7
"23",186,10,"Sun",2010-05-30,2010,1899-12-31 02:40:00,"Fremantle","North Melbourne",36175,"Subiaco",1.12,5.94,"NA",1.12,5.94,4.82,35153.3529411765,1021.64705882353,34175.9680851064,1999.03191489362,0.0584923274130976,2
"24",200,9,"Sat",2010-05-22,2010,1899-12-31 02:10:00,"North Melbourne","Western Bulldogs",30794,"Docklands",4.21,1.22,"NA",1.22,4.21,2.99,31157.9865168539,-363.986516853933,27670.4819277108,3123.51807228916,0.112882676942503,2
"25",205,8,"Sat",2010-05-15,2010,1899-12-31 07:10:00,"North Melbourne","Adelaide",16479,"Docklands",1.61,2.24,"NA",1.61,2.24,0.63,31157.9865168539,-14678.9865168539,27670.4819277108,-11191.4819277108,-0.404455620142381,7
"26",213,7,"Sat",2010-05-08,2010,1899-12-31 07:10:00,"Collingwood","North Melbourne",52696,"M.C.G.",1.19,4.55,"NA",1.19,4.55,3.36,50394.4829157175,2301.51708428246,57107.1149425287,-4411.11494252874,-0.0772428259940636,7
"27",224,6,"Sat",2010-05-01,2010,1899-12-31 02:10:00,"North Melbourne","Melbourne",26763,"Docklands",1.99,1.75,"NA",1.75,1.99,0.24,31157.9865168539,-4394.98651685393,27670.4819277108,-907.481927710844,-0.0327960289987591,2
"28",228,5,"Sun",2010-04-25,2010,1899-12-31 05:40:00,"Hawthorn","North Melbourne",16301,"York",1.32,3.28,"NA",1.32,3.28,1.96,14457.1578947368,1843.84210526316,14457.1578947368,1843.84210526316,0.127538352882928,5
"29",240,4,"Sat",2010-04-17,2010,1899-12-31 02:10:00,"North Melbourne","Sydney",23646,"Docklands",2.57,1.48,"NA",1.48,2.57,1.09,31157.9865168539,-7511.98651685393,27670.4819277108,-4024.48192771084,-0.145443145450983,2
