,Season,Team,Player,Direction,Method
1,2016,Brisbane,Jack Frost,Ins,trade
2,2016,Carlton,Billie Smedts,Ins,trade
3,2016,Carlton,Caleb Marchbank,Ins,trade
4,2016,Carlton,Jarrod Pickett,Ins,trade
5,2016,Carlton,Rhys Palmer,Ins,trade
6,2016,Collingwood,Daniel Wells,Ins,free
7,2016,Collingwood,Chris Mayne,Ins,free
8,2016,Collingwood,Will Hoskin-Elliott,Ins,trade
9,2016,Essendon,James Stewart,Ins,trade
10,2016,Essendon,Josh Green,Ins,free
11,2016,Fremantle,Cam McCarthy,Ins,trade
12,2016,Fremantle,Brad Hill,Ins,trade
13,2016,Fremantle,Joel Hamling,Ins,trade
14,2016,Fremantle,Shane Kersten,Ins,trade
15,2016,Geelong,Zach Tuohy,Ins,trade
16,2016,Geelong,Aaron Black,Ins,trade
17,2016,Gold Coast,Pearce Hanley,Ins,trade
18,2016,Gold Coast,Jarrod Witts,Ins,trade
19,2016,Gold Coast,Jarryd Lyons,Ins,trade
20,2016,Gold Coast,Michael Barlow,Ins,free
21,2016,GWS Giants,Brett Deledio,Ins,trade
22,2016,Hawthorn,Tyrone Vickery,Ins,free
23,2016,Hawthorn,Tom Mitchell,Ins,trade
24,2016,Hawthorn,Jaeger O’Meara,Ins,trade
25,2016,Hawthorn,Ricky Henderson,Ins,free
26,2016,Melbourne,Jordan Lewis,Ins,trade
27,2016,Melbourne,Michael Hibberd,Ins,trade
28,2016,Melbourne,Pat McKenna,Ins,trade
29,2016,North Melbourne,Paul Ahern,Ins,trade
30,2016,North Melbourne,Nathan Hrovat,Ins,trade
31,2016,North Melbourne,Marley Williams,Ins,trade
32,2016,Richmond,Dion Prestia,Ins,trade
33,2016,Richmond,Toby Nankervis,Ins,trade
34,2016,Richmond,Josh Caddy,Ins,trade
35,2016,St Kilda,Jack Steele,Ins,trade
36,2016,St Kilda,Nathan Brown,Ins,free
37,2016,St Kilda,Koby Stevens,Ins,trade
38,2016,West Coast,Sam Mitchell,Ins,trade
39,2016,West Coast,Nathan Vardy,Ins,trade
40,2016,Western Bulldogs,Travis Cloke,Ins,trade
41,2016,Adelaide,Matthew Jaensch,Outs,ret
42,2016,Adelaide,Luke Lowden,Outs,del
43,2016,Adelaide,Keenan Ramsey,Outs,del
44,2016,Adelaide,Nathan van Berlo,Outs,ret
45,2016,Adelaide,Jarryd Lyons,Outs,trade
46,2016,Adelaide,Ricky Henderson,Outs,del
47,2016,Adelaide,Mitch Grigg,Outs,del
48,2016,Adelaide,Sam Shaw,Outs,ret
49,2016,Brisbane,Hugh Beasley,Outs,del
50,2016,Brisbane,Justin Clarke,Outs,ret
51,2016,Brisbane,Billy Evans,Outs,del
52,2016,Brisbane,Josh McGuinness,Outs,del
53,2016,Brisbane,Daniel Merrett,Outs,ret
54,2016,Brisbane,Jackson Paine,Outs,del
55,2016,Brisbane,Josh Watts,Outs,del
56,2016,Brisbane,Trent West,Outs,ret
57,2016,Brisbane,Pearce Hanley,Outs,trade
58,2016,Brisbane,Josh Green,Outs,del
59,2016,Brisbane,Jaden McGrath,Outs,ret
60,2016,Carlton,Matthew Dick,Outs,del
61,2016,Carlton,Jayden Foster,Outs,del
62,2016,Carlton,Michael Jamison,Outs,ret
63,2016,Carlton,Clem Smith,Outs,del
64,2016,Carlton,Andrew Walker,Outs,ret
65,2016,Carlton,Cameron Wood,Outs,ret
66,2016,Carlton,Zach Tuohy,Outs,trade
67,2016,Carlton,Andrejs Everitt,Outs,del
68,2016,Carlton,Dillon Viojo-Rainbow,Outs,del
69,2016,Carlton,Jason Tutt,Outs,del
70,2016,Carlton,Mark Whiley,Outs,del
71,2016,Carlton,Andrew Gallucci,Outs,del
72,2016,Carlton,Billy Gowers,Outs,del
73,2016,Collingwood,Tim Golds,Outs,del
74,2016,Collingwood,Matthew Goodyear,Outs,del
75,2016,Collingwood,Brent Macaffer,Outs,ret
76,2016,Collingwood,Dane Swan,Outs,ret
77,2016,Collingwood,Alan Toovey,Outs,ret
78,2016,Collingwood,Darrean Wyatt,Outs,del
79,2016,Collingwood,Nathan Brown,Outs,free
80,2016,Collingwood,Jarrod Witts,Outs,trade
81,2016,Collingwood,Travis Cloke,Outs,trade
82,2016,Collingwood,Marley Williams,Outs,trade
83,2016,Collingwood,Jack Frost,Outs,trade
84,2016,Collingwood,Corey Gault,Outs,ret
85,2016,Collingwood,Jonathan Marsh,Outs,ret
86,2016,Essendon,Jason Ashby,Outs,del
87,2016,Essendon,Adam Cooney,Outs,ret
88,2016,Essendon,Ryan Crowley,Outs,del
89,2016,Essendon,Shaun Edwards,Outs,del
90,2016,Essendon,Nathan Grima,Outs,del
91,2016,Essendon,Sam Grimley,Outs,del
92,2016,Essendon,James Gwilt,Outs,del
93,2016,Essendon,Mark Jamar,Outs,del
94,2016,Essendon,Sam Michael,Outs,del
95,2016,Essendon,Tayte Pears,Outs,ret
96,2016,Essendon,James Polkinghorne,Outs,del
97,2016,Essendon,Jonathan Simpkin,Outs,del
98,2016,Essendon,Mathew Stokes,Outs,ret
99,2016,Essendon,Tom Wallis,Outs,del
100,2016,Essendon,Michael Hibberd,Outs,trade
